PID,Address,LotArea,FullBath,BedroomAbvGr,finishedsqft,DateSold,MoSold,YrSold,price,Neighborhood,totalrooms,BldgType,YrBuilt, zestimate ,zindexvalue,Zipcode,Longitude,Latitude
11072,1838 32nd Ave,3000,2,3,1150,7/30/2012,7,2012,680000,Central Sunset,6,SingleFamily,1941,"1,080,800.00","1,111,300",94122,-122.490016,37.75288
11073,335 17th Ave,3000,2,3,2000,10/20/2011,10,2011,952000,Central Richmond,5,SingleFamily,1912,"2,017,603.00","1,480,400",94121,-122.476585,37.781702
11074,1251 34th Ave,2996,1.5,2,1650,10/20/2011,10,2011,751000,Central Sunset,7,SingleFamily,1926,"1,054,516.00","1,111,300",94122,-122.49359,37.763737
11075,1285 Palou Ave,2500,1,2,1215,10/20/2011,10,2011,325000,Bayview,6,SingleFamily,1962,"605,307.00","719,000",94124,-122.38514,37.730404
11076,220 Guerrero St APT 2,3049,2,2,934,10/19/2011,10,2011,300000,Mission,4,Condominium,1970,"1,026,677.00","1,167,700",94103,-122.42475,37.767615
11077,1101 Green St # 1201,3049,1,1,921,10/19/2011,10,2011,875000,Russian Hill,4,Condominium,1930,"1,046,823.00","1,608,800",94109,-122.417394,37.798234
11078,50 Seneca Ave,1873,1,2,890,10/19/2011,10,2011,433000,Mission Terrace,4,SingleFamily,1921,"844,729.00","986,000",94112,-122.440571,37.718298
11079,4831 17th St,3022,3,3,1672,10/19/2011,10,2011,1342500,Parnassus - Ashbury,6,SingleFamily,1936,"2,294,597.00","2,111,800",94117,-122.449667,37.761368
11080,1220 La Playa St APT 303,9148,1,1,606,10/19/2011,10,2011,220000,Outer Sunset,3,Condominium,1961,"561,265.00","1,030,300",94122,-122.509045,37.763504
11081,1574 20th Ave,2495,1,2,950,10/19/2011,10,2011,600000,Central Sunset,5,SingleFamily,1924,"910,562.00","1,111,300",94122,-122.477545,37.758424
11082,43 Hillcrest Ct,2996,3,4,1828,10/19/2011,10,2011,690000,Westwood Highlands,7,SingleFamily,1959,"1,599,631.00","1,393,200",94127,-122.453098,37.736285
11083,101 Melrose Ave,2495,2,3,1170,10/19/2011,10,2011,760000,Sunnyside,6,SingleFamily,1943,"1,165,197.00","1,030,800",94127,-122.444471,37.733596
